ID,Nombre,Goles,Foto,DefaultFoto,FechaNacimiento,Posicion,LugarNacimiento,Apodo,CampeonatosUruguayos,TitulosInternacionales,Oficiales_partidosjugados,Oficiales_partidosganados,Oficiales_partidosempatados,Oficiales_partidosperdidos,Oficiales_golesmarcados,Amistosos_partidosjugados,Amistosos_partidosganados,Amistosos_partidosempatados,Amistosos_partidosperdidos,Amistosos_golesmarcados,ClasicosOficiales_partidosjugados,ClasicosOficiales_partidosganados,ClasicosOficiales_partidosempatados,ClasicosOficiales_partidosperdidos,ClasicosOficiales_golesmarcados,ClasicosAmistosos_partidosjugados,ClasicosAmistosos_partidosganados,ClasicosAmistosos_partidosempatados,ClasicosAmistosos_partidosperdidos,ClasicosAmistosos_golesmarcados
1892,Elías Ferreira,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1892.jpg,False,20/11/1979,dDelantero,"Curitiba, Brasil",Zinho,0.0,0.0,8.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1893,Paolo Jonathan Ferreira Álvez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1893.jpg,False,09/02/1985,vcVolante central,"Montevideo, Uruguay",-,0.0,0.0,3.0,1.0,2.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1894,Gustavo Latrónico,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1894.jpg,False,24/06/1984,voVolante ofensivo,"Montevideo, Uruguay",-,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1895,Matías Damián Alonso Vallejo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1895.jpg,False,16/04/1985,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1896,Junior Izaguirre,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1896.jpg,False,12/08/1979,dcDefensa central,"Tegucigalpa, Honduras",-,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1897,Roberto Ronald Brown Perea,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1897.jpg,False,15/07/1977,dDelantero,"Panama City, Panamá",Bombardero,0.0,0.0,16.0,7.0,5.0,4.0,1.0,5.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1898,Félix García,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1898.jpg,False,05/12/1983,dcDefensa central,"Buenaventura, Colombia",-,0.0,0.0,11.0,3.0,6.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1899,Eduardo Daniel Mieres,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1899.jpg,False,22/03/1984,dcDefensa central,"Paysandú, Uruguay",-,0.0,0.0,25.0,13.0,4.0,8.0,3.0,3.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,Juan José Blanco Dili,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1900.jpg,False,19/12/1985,dDelantero,"Canelones, Uruguay",-,0.0,0.0,3.0,2.0,0.0,1.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1901,José Pablo Russo,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1901.jpg,False,05/03/1981,dDelantero,"Buenos Aires, Argentina",-,0.0,0.0,21.0,12.0,6.0,3.0,3.0,4.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1902,Daniel Horacio Pereira,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1902.jpg,False,05/12/1976,vcVolante central,"Buenos Aires, Argentina",Boya,0.0,0.0,39.0,16.0,12.0,11.0,0.0,4.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
1903,Leonardo Alfredo Ramos,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1903.jpg,False,11/09/1969,dcDefensa central,"Montevideo, Uruguay",-,0.0,0.0,8.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,Diego Fernando Pérez,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1904.jpg,False,18/05/1980,vcVolante central,"Montevideo, Uruguay",Ruso,0.0,0.0,19.0,10.0,6.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
1905,Hamilton Herrera,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1905.jpg,False,03/06/1976,dcDefensa central,"Montevideo, Uruguay",-,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906,Daniel Eduardo Baldi Alfonso,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1906.jpg,False,23/11/1981,dDelantero,"Colonia, Uruguay",-,0.0,0.0,5.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1907,Gabriel Ramírez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1907.jpg,True,21/12/1982,dDelantero,"Cerro Largo, Uruguay",-,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,Claudio Marcelo Guerra,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1908.jpg,False,22/12/1972,dDelantero,"Montevideo, Uruguay",Pato,0.0,0.0,6.0,3.0,0.0,3.0,0.0,20.0,14.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909,Pablo Gabriel García Pérez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1909.jpg,False,11/05/1977,vcVolante central,"Canelones, Uruguay",-,0.0,0.0,17.0,6.0,3.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1910,Luis Carlos Sánchez,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1910.jpg,False,17/05/1964,vcVolante central,"Canelones, Uruguay",Tio,0.0,0.0,167.0,77.0,48.0,42.0,7.0,66.0,31.0,21.0,14.0,2.0,17.0,5.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
1911,Ernesto Mariano Gómez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1911.jpg,False,30/04/1967,voVolante ofensivo,Uruguay,-,0.0,0.0,13.0,4.0,4.0,5.0,0.0,14.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1912,Carlos Gabriel Correa Viana,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1912.jpg,False,13/01/1968,vcVolante central,"Montevideo, Uruguay",-,0.0,0.0,16.0,8.0,3.0,5.0,0.0,7.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1913,Carlos Gabriel Pérez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1913.jpg,False,-,dcDefensa central,"Canelones, Uruguay",-,0.0,0.0,36.0,23.0,5.0,8.0,0.0,64.0,43.0,10.0,11.0,0.0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1914,Waldemar Dumás Cáceres Roldán,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1914.jpg,False,01/04/1949,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,15.0,6.0,5.0,4.0,1.0,13.0,7.0,6.0,0.0,5.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1915,Ricardo Sergio Soria,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1915.jpg,False,27/05/1949,vcVolante central,-,Mono,0.0,0.0,15.0,6.0,6.0,3.0,0.0,14.0,8.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916,Ariel Pintos,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1916.jpg,False,-,gGolero,-,-,0.0,0.0,8.0,3.0,4.0,1.0,0.0,24.0,12.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917,Sergio Blanco,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1917.jpg,False,25/04/1951,gGolero,-,-,0.0,0.0,6.0,3.0,0.0,3.0,0.0,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1918,Jorge Alberto Peralta,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1918.jpg,False,15/12/1948,dcDefensa central,-,-,0.0,0.0,14.0,5.0,6.0,3.0,1.0,18.0,11.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919,Luis Speranza,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1919.jpg,False,-,dDelantero,-,-,0.0,0.0,4.0,0.0,2.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,Elgar Alfredo Baeza,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1920.jpg,False,11/08/1939,dcDefensa central,"Montevideo, Uruguay",-,0.0,0.0,3.0,2.0,0.0,1.0,0.0,11.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1921,Alberto Martínez,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1921.jpg,False,30/07/1950,dcDefensa central,"Rocha, Uruguay",-,0.0,0.0,43.0,24.0,14.0,5.0,2.0,60.0,29.0,12.0,19.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1922,Óscar Joffre Zubía,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1922.jpg,False,08/02/1946,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,7.0,5.0,1.0,1.0,0.0,15.0,10.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1923,Luis Villalba,25,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1923.jpg,False,25/12/1952,voVolante ofensivo,"Canelones, Uruguay",-,0.0,0.0,28.0,18.0,4.0,6.0,9.0,46.0,24.0,12.0,10.0,16.0,5.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
1924,Alcides Edgardo Bombi,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1924.jpg,False,30/07/1950,voVolante ofensivo,"Colonia, Uruguay",Boga,0.0,0.0,2.0,1.0,1.0,0.0,0.0,17.0,12.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1925,Luis Alberto Díaz,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1925.jpg,False,17/08/1942,dDelantero,"Santiago del Estero, Argentina",Chango,0.0,0.0,8.0,5.0,2.0,1.0,1.0,14.0,7.0,2.0,5.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1926,Raúl Osvaldo Castronovo Zanón,44,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1926.jpg,False,11/01/1949,dDelantero,"Rosario, Argentina",Perro,0.0,0.0,24.0,13.0,7.0,4.0,23.0,24.0,14.0,6.0,4.0,21.0,4.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0
1927,Edison Amoroso,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1927.jpg,False,-,vcVolante central,-,Tito,0.0,0.0,27.0,13.0,12.0,2.0,2.0,27.0,17.0,4.0,6.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1929,Julio Luccini,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1929.jpg,False,17/03/1954,dDelantero,-,-,0.0,0.0,8.0,4.0,2.0,2.0,2.0,9.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1931,Richard Armán,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1931.jpg,True,-,vcVolante central,-,-,0.0,0.0,8.0,7.0,0.0,1.0,1.0,7.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932,Jorge Álvarez,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1932.jpg,True,-,vcVolante central,-,Carita,0.0,0.0,5.0,2.0,1.0,2.0,0.0,6.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1933,Nelson Ruben Moraes,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1933.jpg,False,18/05/1952,vcVolante central,"Montevideo, Uruguay",-,0.0,0.0,18.0,9.0,5.0,4.0,0.0,6.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1934,Carlos Cayetano Simaldone,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1934.jpg,False,-,dcDefensa central,Uruguay,-,0.0,0.0,31.0,16.0,8.0,7.0,15.0,6.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1935,Albert Fay,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1935.jpg,False,28/01/1949,gGolero,"Montevideo, Uruguay",-,0.0,0.0,6.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,Jorge Rodríguez Rodríguez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1936.jpg,False,09/07/1958,voVolante ofensivo,"Paysandú, Uruguay",Guiso,0.0,0.0,7.0,5.0,1.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1937,Pedro Catalino Pedrucci,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1937.jpg,False,30/09/1961,voVolante ofensivo,"Montevideo, Uruguay",-,0.0,0.0,22.0,7.0,7.0,8.0,3.0,11.0,3.0,4.0,4.0,3.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1938,Marcelo José Fabián Asteggiano Bertolini,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1938.jpg,False,04/08/1965,dcDefensa central,"Santa Fé, Argentina",Pichi,0.0,0.0,22.0,6.0,8.0,8.0,1.0,12.0,2.0,5.0,5.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1939,Fernando Daniel Rosa,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1939.jpg,False,21/01/1966,ldLateral derecho,"Montevideo, Uruguay",Topo,0.0,0.0,102.0,38.0,36.0,28.0,1.0,38.0,19.0,12.0,7.0,0.0,12.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1940,Euler Selvino Correa,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1940.jpg,False,-,ldLateral derecho,Uruguay,-,0.0,0.0,29.0,9.0,12.0,8.0,0.0,15.0,5.0,7.0,3.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1941,Néstor César Blanco Correa,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1941.jpg,False,07/07/1966,vcVolante central,-,-,0.0,0.0,60.0,24.0,18.0,18.0,0.0,25.0,17.0,3.0,5.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1942,Ramón Víctor Castro García,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1942.jpg,False,13/06/1964,voVolante ofensivo,"Montevideo, Uruguay",Toti,0.0,0.0,9.0,3.0,4.0,2.0,0.0,8.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1943,Edgardo Martínez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1943.jpg,True,-,dDelantero,-,-,0.0,0.0,5.0,0.0,3.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1944,Leonardo García,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1944.jpg,False,23/06/1976,voVolante ofensivo,"Montevideo, Uruguay",Mago,0.0,0.0,27.0,12.0,9.0,6.0,0.0,13.0,11.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1945,Víctor Manuel López,16,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1945.jpg,False,09/04/1971,dDelantero,"San José, Uruguay",-,0.0,0.0,70.0,24.0,28.0,18.0,12.0,19.0,11.0,5.0,3.0,4.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
1946,Alejandro Mitarian,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1946.jpg,False,02/01/1973,gGolero,"Montevideo, Uruguay",-,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1947,Álvaro Marenco,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1947.jpg,False,18/01/1972,dcDefensa central,Uruguay,-,0.0,0.0,4.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1948,Gonzalo Lizardo Díaz,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1948.jpg,False,14/04/1966,ldLateral derecho,"Río Negro, Uruguay",-,0.0,0.0,10.0,2.0,2.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1949,Sergio Recoba,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1949.jpg,False,17/08/1966,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,7.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Jesús Leal,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1950.jpg,True,05/09/1973,dDelantero,"Salto, Uruguay",-,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,Jairo O'Neill,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1951.jpg,False,31/07/2001,liLateral izquierdo,"Tacuarembó, Uruguay",-,0.0,0.0,5.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,Héctor Tuja,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1952.jpg,False,06/03/1960,gGolero,"Montevideo, Uruguay",-,0.0,0.0,4.0,0.0,0.0,4.0,0.0,12.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,Robert Dante Siboldi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1953.jpg,False,24/09/1965,gGolero,"Montevideo, Uruguay",-,0.0,0.0,11.0,3.0,4.0,4.0,0.0,10.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
1954,Washington Leonardo Hernández Tejera,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1954.jpg,False,-,voVolante ofensivo,-,Piojo,0.0,0.0,10.0,2.0,3.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,Sergio Umpiérrez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1955.jpg,False,-,dcDefensa central,-,-,0.0,0.0,18.0,3.0,6.0,9.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,Carlos Eduardo Vázquez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1956.jpg,False,12/03/1962,ldLateral derecho,"Flores, Uruguay",Chupete,0.0,0.0,10.0,5.0,1.0,4.0,0.0,17.0,5.0,8.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1957,Juan Ramón Carrasco Torres,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1957.jpg,False,15/09/1956,voVolante ofensivo,"Durazno, Uruguay",-,0.0,0.0,15.0,6.0,5.0,4.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,Claudio Dario Biaggio,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1958.jpg,False,02/07/1967,dDelantero,"La Pampa, Argentina",Pampa,0.0,0.0,3.0,1.0,1.0,1.0,0.0,9.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,Pablo Alejandro Correa Velázquez,11,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1959.jpg,False,14/03/1967,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,26.0,11.0,9.0,6.0,9.0,17.0,5.0,7.0,5.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1960,Mauricio Joselito Silvera,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1960.jpg,False,30/12/1964,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,10.0,3.0,3.0,4.0,2.0,14.0,5.0,6.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,Gustavo Lucas,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1961.jpg,False,-,dcDefensa central,"Cerro Largo, Uruguay",Gaucho,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,Sergio Rodolfo Santín,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1963.jpg,False,06/08/1956,voVolante ofensivo,"Salto, Uruguay",Bocha,0.0,0.0,16.0,8.0,4.0,4.0,1.0,17.0,6.0,7.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1964,Washington Alejandro Méndez,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1964.jpg,False,05/01/1970,vcVolante central,"Colonia, Uruguay",Jano,0.0,0.0,17.0,7.0,6.0,4.0,1.0,9.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,Javier Centurión,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1965.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,William Adrián Castro Rosso,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1966.jpg,False,22/05/1962,dDelantero,"Soriano, Uruguay",Pato,0.0,0.0,43.0,18.0,16.0,9.0,1.0,23.0,9.0,7.0,7.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,Sergio Daniel Martínez,20,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1967.jpg,False,15/02/1969,dDelantero,"Montevideo, Uruguay",Manteca,0.0,0.0,41.0,15.0,17.0,9.0,15.0,21.0,15.0,3.0,3.0,5.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968,Sergio Antonio Panzardo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1968.jpg,False,20/07/1965,dcDefensa central,"Montevideo, Uruguay",-,0.0,0.0,12.0,4.0,6.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,Armando Dely Valdés,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1969.jpg,False,05/01/1964,dDelantero,"Colón, Panamá",-,0.0,0.0,3.0,1.0,1.0,1.0,0.0,7.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,Roy Antonio Francis Myers,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1970.jpg,False,13/04/1969,voVolante ofensivo,"Limón, Costa Rica",-,0.0,0.0,17.0,6.0,5.0,6.0,1.0,20.0,12.0,4.0,4.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,Paulo Alves Terresende,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1971.jpg,False,01/05/1962,dDelantero,Brasil,Paulinho,0.0,0.0,22.0,10.0,7.0,5.0,9.0,11.0,7.0,4.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,César Fernando Silvera,14,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1972.jpg,False,06/05/1971,voVolante ofensivo,"Montevideo, Uruguay",-,0.0,0.0,52.0,23.0,16.0,13.0,8.0,27.0,18.0,5.0,4.0,6.0,7.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,Adrián Gustavo Paz,24,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\1973.jpg,False,09/09/1968,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,91.0,35.0,30.0,26.0,18.0,38.0,22.0,9.0,7.0,6.0,13.0,3.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
